loss,accuracy,val_loss,val_accuracy,time
0.19909468293190002,0.9370114803314209,0.05401357635855675,0.9834933280944824,563.122578
0.04372275248169899,0.986722469329834,0.03509051352739334,0.9900813102722168,566.269416
0.03378107771277428,0.989884614944458,0.03357863053679466,0.9901058077812195,565.6703279999999
0.02661481313407421,0.9920580387115479,0.03332468867301941,0.9901303052902222,564.275719
0.02280944213271141,0.9932807683944702,0.033925943076610565,0.9902527332305908,562.1974799999998
0.02037620358169079,0.9940237998962402,0.030530495569109917,0.9913793206214905,563.0160190000001
0.017831966280937195,0.9947375655174255,0.029014799743890762,0.9919915795326233,563.4147929999999
0.01643763855099678,0.9951236844062805,0.030778327956795692,0.9916976690292358,562.2940469999999
0.014653993770480156,0.9956414103507996,0.029154501855373383,0.9924324154853821,564.3527119999999
0.013727732934057713,0.9957613945007324,0.03331657499074936,0.9920405745506287,562.1973770000004
